bin,lower,upper,count,mean_score,fraction_positive
0,0.0,0.1,959,0.0824493673864103,0.07716371220020855
1,0.1,0.2,7913,0.15796037031198504,0.13218753949197523
2,0.2,0.30000000000000004,14241,0.2523814258680661,0.20068815392177516
3,0.30000000000000004,0.4,15875,0.3485030136483861,0.2864251968503937
4,0.4,0.5,12163,0.44702999169944313,0.3784428183836225
5,0.5,0.6000000000000001,7883,0.5443273777210453,0.4906761385259419
6,0.6000000000000001,0.7000000000000001,6541,0.6533353119118099,0.5951689344136982
7,0.7000000000000001,0.8,10730,0.7527832917876035,0.6765144454799628
8,0.8,0.9,8590,0.8427219429796039,0.7637951105937136
9,0.9,1.0,1629,0.9264595691524011,0.807243707796194
