model,fold,roc_auc,average_precision,brier_score,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp
S1-D,0,0.6299331367062303,0.5277714591470747,0.24103897896309878,0.5844313453536755,0.5006671456430257,0.6771238200999444,0.5183168316831683,0.5756771109930962,5235,4865,2326,4878
S1-D,1,0.6211539153915391,0.5267457198275804,0.24054459490844413,0.5771164403351633,0.49397718793305617,0.6431644691186675,0.53,0.5587845170625829,5353,4747,2571,4634
S1-D,2,0.6213484834627128,0.5191771867617745,0.24161389608257347,0.5778432732316228,0.49471011426153194,0.6489937543372658,0.5270818892959699,0.5614456384703128,5323,4776,2529,4676
S1-D,3,0.6202607549401887,0.5156687416826031,0.23861876461075088,0.5954238169526781,0.5141863699582754,0.513044684984735,0.6541926541926542,0.5136148930258405,6608,3493,3509,3697
S1-D,4,0.6209553548358723,0.5206636193792374,0.24245467812567417,0.5714285714285714,0.4892821031344793,0.6717101610216546,0.4999009900990099,0.5661635661635661,5049,5051,2365,4839
S2-D,0,0.7532475357474671,0.6718661985409528,0.2011545713859928,0.7043458159963014,0.6493135011441648,0.6302054414214325,0.7572277227722772,0.6396167934629473,7648,2452,2664,4540
S2-D,1,0.7569705993500113,0.6784753717153165,0.20046001714893535,0.7030338052585958,0.6396700919415901,0.6566273421235254,0.7361386138613861,0.6480378056297514,7435,2665,2474,4731
S2-D,2,0.7539178029252248,0.6763429146309214,0.19960317290008364,0.7068885806749884,0.6575565076082139,0.617765440666204,0.7704723239924745,0.6370402175468728,7781,2318,2754,4451
S2-D,3,0.7525776913786906,0.6728783348617691,0.2003674585511865,0.7050326457502745,0.6516091788136816,0.6265611990008326,0.7610137610137611,0.6388397594623275,7687,2414,2691,4515
S2-D,4,0.7509985582817027,0.6714586746609564,0.19937489609137762,0.7030166435506241,0.6567005615419639,0.6006385341476957,0.7760396039603961,0.6274197056477924,7838,2262,2877,4327
S3-D,0,0.7522668855586281,0.6698863259185712,0.20304865442995976,0.7055016181229773,0.6499715424018213,0.6340921710161022,0.7564356435643564,0.6419336706014614,7640,2460,2636,4568
S3-D,1,0.7585582000948187,0.6791956632305323,0.19846671690064463,0.7063854377347587,0.6508951406649617,0.6358084663428175,0.7567326732673267,0.6432633574387419,7643,2457,2624,4581
S3-D,2,0.75625890773638,0.6775270893970009,0.19731394145040973,0.7093735552473417,0.6633143200240168,0.613324080499653,0.7778988018615705,0.63734044854691,7856,2243,2786,4419
S3-D,3,0.7528273004959101,0.6715824448972563,0.2019237978884455,0.6961922921361299,0.6251606270881521,0.6751318345822925,0.7112167112167113,0.6491860154790499,7184,2917,2341,4865
S3-D,4,0.750704868307486,0.6684054466342754,0.20122803011934842,0.7029010633379565,0.6502987031910243,0.6195169350360911,0.7623762376237624,0.6345347266652449,7700,2400,2741,4463
S1-A,0,0.5583927108701986,0.4690496716193796,0.24623787462338256,0.5460009246417014,0.4587446216147811,0.5031926707384786,0.5765346534653465,0.47994174500198594,5823,4277,3579,3625
S1-A,1,0.5584230423042305,0.4686884755181491,0.2474521076753491,0.5477607627853222,0.4612891160703154,0.5135322692574601,0.5721782178217821,0.48601077104952056,5779,4321,3505,3700
S1-A,2,0.5414521497411573,0.4518888086124788,0.25074135695693733,0.5217290799815072,0.44054624181192403,0.5507286606523247,0.5010397069016734,0.48951394029114237,5060,5039,3237,3968
S1-A,3,0.547450976884782,0.45649114120776624,0.252650200586083,0.5177673773617611,0.4428055388320289,0.61240632805995,0.45025245025245025,0.5139762403913347,4548,5553,2793,4413
S1-A,4,0.5559872609276475,0.4596147080994527,0.2510710267515717,0.5318423485899214,0.45238348019959657,0.5914769572459745,0.4893069306930693,0.5126631775251158,4942,5158,2943,4261
S1-B,0,0.581283067437782,0.480864836506169,0.24452645999557085,0.5501040221914009,0.4697175023454602,0.6254858411993337,0.49633663366336633,0.536524379353456,5013,5087,2698,4506
S1-B,1,0.5773526772524581,0.4800107016556533,0.24620947999179285,0.5410574978329963,0.46398905501807874,0.6589868147120056,0.45693069306930695,0.5445578621401537,4615,5485,2457,4748
S1-B,2,0.5692290185594262,0.46591903059679696,0.2491849466795994,0.539297272306981,0.4630290176419551,0.666620402498265,0.4484602435884741,0.546478552736375,4529,5570,2402,4803
S1-B,3,0.5738634641632143,0.470494706478218,0.24390791961077438,0.5591379210723985,0.47480988593155893,0.5545378850957535,0.5624195624195624,0.5115862245551146,5681,4420,3210,3996
S1-B,4,0.5745631002578325,0.46809870277355115,0.24624220130763866,0.5464632454923717,0.46672866294688986,0.6270127706829539,0.489009900990099,0.5351261698850847,4939,5161,2687,4517
S1-C,0,0.6287716189025899,0.5259666029976549,0.2379484357019595,0.5954692556634305,0.5123039806996381,0.5895335924486397,0.5997029702970297,0.5482122111785207,6057,4043,2957,4247
S1-C,1,0.6202424883709745,0.525327209557684,0.24226239772392485,0.5756139843975729,0.49265715795034337,0.6471894517696044,0.5245544554455446,0.5594481103779244,5298,4802,2542,4663
S1-C,2,0.6197144315688289,0.5217061629041927,0.24382291158579386,0.5680189551548774,0.48693379790940766,0.698265093684941,0.47509654421229824,0.5737583395107487,4798,5301,2174,5031
S1-C,3,0.6200906302904637,0.5149610481737482,0.24124578756566997,0.5863523429826082,0.5026983580204386,0.607549264501804,0.5712305712305712,0.5501727929626139,5770,4331,2828,4378
S1-C,4,0.6208911234682601,0.5215467353613674,0.24405601441975439,0.5669209431345353,0.48584260886545594,0.6907273736812882,0.4786138613861386,0.5704459474951278,4834,5266,2228,4976
S3-A,0,0.75101829429195,0.6661399648517303,0.20061108455964743,0.7034789644012945,0.6565473493429995,0.6034147695724598,0.7748514851485149,0.6288607594936709,7826,2274,2857,4347
S3-A,1,0.7589622992833633,0.6784717050663873,0.1973585624038163,0.7079456804391794,0.6525748333096894,0.6384455239417072,0.7575247524752475,0.6454328609513119,7651,2449,2605,4600
S3-A,2,0.7544069162893187,0.674540934166994,0.19901540110218022,0.7067730004623208,0.6517157909725189,0.6352532963219986,0.7577978017625507,0.6433792521788023,7653,2446,2628,4577
S3-A,3,0.7540629264192962,0.6751426443026236,0.20065814974737112,0.7045126249494424,0.6491728465487735,0.6316958090480156,0.7564597564597565,0.6403150935433957,7641,2460,2654,4552
S3-A,4,0.7515333203225931,0.6719251941605411,0.19850067977584826,0.7006472491909385,0.6534728541097968,0.5981399222654081,0.7737623762376238,0.624583272938107,7815,2285,2895,4309
S3-B,0,0.7512236532509442,0.6663991813458664,0.20107579617013585,0.6999537679149329,0.6448315577310683,0.6217379233759023,0.7557425742574257,0.6330742049469965,7633,2467,2725,4479
S3-B,1,0.7599543633752689,0.6802627762381508,0.1984570418971943,0.7108350187806992,0.667173021418806,0.6095766828591256,0.7830693069306931,0.6370757180156658,7909,2191,2813,4392
S3-B,2,0.7560779717301147,0.6781283349038658,0.1981201780519311,0.7069463707813223,0.6533486634090255,0.6309507286606523,0.7611644717298742,0.6419543881945915,7687,2412,2659,4546
S3-B,3,0.7517569289009756,0.6725529060640407,0.2007855497305639,0.7039926041486104,0.6532293658967191,0.6161532056619484,0.7666567666567666,0.634149825037492,7744,2357,2766,4440
S3-B,4,0.7514354099207811,0.6691858540721347,0.20016156903137267,0.7060217290799815,0.6577731405574602,0.612576346474181,0.7726732673267327,0.6343707324085388,7804,2296,2791,4413
S3-C,0,0.7526951954634664,0.668863799413902,0.19968424368315904,0.7054438280166435,0.6605211031540454,0.6017490283176014,0.7794059405940594,0.6297668337328394,7872,2228,2869,4335
S3-C,1,0.7592459032162757,0.6787806824810814,0.19771188985690738,0.7082924010401618,0.6594706491202129,0.6190145732130465,0.771980198019802,0.638602520045819,7797,2303,2745,4460
S3-C,2,0.7557781502335759,0.6780862179952015,0.1975994232108154,0.7086222838650024,0.6537313432835821,0.6383067314365024,0.7587879988117635,0.6459269662921349,7663,2436,2606,4599
S3-C,3,0.7527404109419097,0.6719931356199154,0.20133269115129393,0.6982723753394581,0.6303890641430073,0.665556480710519,0.7216117216117216,0.6474956122586742,7289,2812,2410,4796
S3-C,4,0.7515183808775102,0.6712817086002183,0.20125266068365683,0.7028432732316228,0.6459099915086329,0.6335369239311494,0.7522772277227723,0.6396636299929923,7598,2502,2640,4564
